  Elapsed (sec)    Frequency (MHz)    Usage (%)    Core0:Usage (%)    Core1:Usage (%)    Core2:Usage (%)    Core3:Usage (%)    Core4:Usage (%)    Core5:Usage (%)    Core6:Usage (%)    Core7:Usage (%)  Event
          38.47               2900         0.00              92.30              57.10              92.90              53.80             100.00              53.80              90.90              53.80  -
          38.60               2900         0.00              92.30              57.10              84.60              53.80              92.90              53.80              93.30              50.00  -
          38.73               2900        73.30              92.30              58.30              92.30              58.30              84.60              53.80              91.70              53.80  -
          38.86               2900        75.50             100.00              58.30              91.70              53.80              92.30              58.30              91.70              61.50  -
          38.98               2900        71.00              92.90              50.00              92.90              53.80             100.00              38.50              85.70              53.80  -
          39.11               2900        78.40              92.90              53.80              91.70              53.80              92.30              69.20              91.70              76.90  -
          39.24               2900        77.20             100.00              58.30              92.30              61.50              91.70              69.20              85.70              66.70  -
          39.36               2900        69.80              92.30              45.50             100.00              41.70              92.30              46.20              90.90              50.00  -
          39.49               2900         0.00              91.70              38.50              92.30              46.20              92.30              46.20              84.60              53.80  -
          39.61               2900         0.00              92.30              50.00              92.30              46.20              91.70              50.00              91.70              46.20  -
          39.74               2900        70.60              92.30              54.50              91.70              58.30              91.70              50.00              92.30              61.50  -
          39.86               2900        75.00             100.00              53.80              92.30              50.00              92.30              66.70              84.60              58.30  -
          40.00               2900        75.50              85.70              53.80              92.30              64.30              92.30              64.30              84.60              66.70  -
          40.12               2900        75.50             100.00              61.50             100.00              50.00              91.70              54.50              92.30              53.80  -
          40.25               2900        74.30              91.70              61.50              92.30              53.80              92.30              60.00              92.30              53.80  -
          40.38               2900        76.60              92.90              61.50              92.90              61.50              92.30              61.50              92.30              53.80  -
          40.51               2900        79.00              84.60              66.70              92.30              61.50              92.90              63.60              91.70              69.20  -
          40.64               2900         0.00             100.00              57.10             100.00              53.80              92.90              53.30              92.90              64.30  -
          40.77               2900        72.90              91.70              41.70              91.70              46.20              91.70              50.00              91.70              58.30  -
          40.90               2900        72.60              92.90              50.00              92.90              50.00              92.30              53.80              92.30              53.80  -
          41.03               2900        74.00              91.70              58.30              91.70              57.10              91.70              61.50              84.60              58.30  -
          41.15               2900         0.00             100.00              53.80              92.30              53.80              92.30              53.80              91.70              57.10  -
          41.28               2900         0.00              92.30              66.70              92.30              66.70              92.30              58.30              92.90              58.30  -
          41.41               2900         0.00              91.70              61.50              91.70              53.80              92.30              53.80              91.70              58.30  -
          41.53               2900         0.00              92.30              53.80              92.90              58.30             100.00              50.00              91.70              53.80  -
          41.66               2900         0.00              92.30              50.00              91.70              46.20              83.30              53.80              92.30              50.00  -
          41.79               2900        74.30             100.00              61.50              91.70              53.80              92.90              53.80              92.30              60.00  -
          41.91               2900        74.50              91.70              57.10              92.90              58.30              91.70              61.50              84.60              58.30  -
          42.05               2900        71.10              87.50              46.20              92.90              50.00              92.90              50.00              93.30              50.00  -
          42.18               2900        75.50              92.90              64.30              92.30              60.00              85.70              57.10             100.00              53.80  -
          42.32               2900        74.00              91.70              58.30              92.90              58.30              92.30              58.30              92.30              46.20  -
          42.45               2900         0.00             100.00              57.10             100.00              64.30              92.30              61.50              84.60              61.50  -
          42.58               2900         0.00              92.30              46.20              91.70              45.50              92.30              58.30              92.30              53.80  -
          42.70               2900         0.00              92.30              41.70              92.30              46.20              91.70              50.00              91.70              46.20  -
          42.83               2900        72.20              92.30              53.80              85.70              53.80              84.60              50.00              92.30              50.00  -
          42.96               2900        70.10              91.70              46.20              91.70              50.00             100.00              46.20              91.70              50.00  -
          43.08               2900        69.00              84.60              45.50              91.70              53.80              85.70              41.70              91.70              53.80  epoch 1: validate
          43.20               2900        53.60              83.30              30.80              83.30              16.70              91.70              16.70              91.70              16.70  -
          43.33               2900        77.20              93.30              66.70              93.30              68.80              93.30              62.50              93.70              50.00  -
          43.50               2900        93.70             100.00              87.50             100.00              86.70             100.00              86.70             100.00              87.50  -
          43.66               2900        65.80              85.70              42.90              85.70              40.00              84.60              50.00              80.00              53.80  -
          43.78               2900        73.70             100.00              50.00             100.00              54.50              92.90              53.80             100.00              46.20  -
          43.91               2900        69.50              91.70              38.50              92.90              42.90              91.70              50.00              86.70              61.50  -
          44.03               2900        90.40              93.70              86.70              92.90              84.60              93.30              80.00             100.00              92.30  -
          44.19               2900         0.00             100.00              71.40             100.00              66.70             100.00              73.30              92.90              75.00  -
          44.33               2900         0.00              92.90              38.50              92.90              42.90              92.30              41.70              84.60              53.80  -
          44.45               2900         0.00              91.70              76.90              84.60              75.00              91.70              84.60             100.00              84.60  -
          44.58               2900         0.00              91.70              41.70              90.90              50.00              76.90              53.80              76.90              50.00  start predict()
          44.70               2900         0.00              84.60              21.40              85.70              28.60              84.60              16.70              92.30              23.10  -
          44.83               2900         0.00              76.90              25.00              72.70              18.20              63.60              23.10              75.00               8.30  -
          44.95               2900        63.50              66.70               8.30              61.50               7.70              53.80               8.30              66.70               8.30  -
          45.07               2900        36.40              58.30              16.70              61.50              15.40              66.70               0.00              61.50               7.70  -
          45.20               2900         0.00              69.20              15.40              75.00               0.00              61.50              15.40              66.70               0.00  -
          45.33               2900         0.00              66.70               8.30              75.00              15.40              61.50               8.30              53.80              14.30  -
          45.45               2900         0.00              69.20              15.40              50.00               7.70              61.50              14.30              76.90               0.00  -
          45.58               2900         0.00              57.10              15.40              75.00              14.30              53.80               7.70              57.10               7.10  -
          45.71               2900         0.00              81.80              30.80              92.30              30.80              76.90              33.30              66.70              30.80  -
          45.89               2900         0.00              81.00              45.00              70.00              44.40              90.00              35.00              73.70              45.00  -
          46.04               2900        49.40              92.30              57.10             100.00              57.10              92.30              61.50              85.70              53.80  -
          46.18               2900        64.90              92.90              42.90              92.90              57.10              86.70              33.30              85.70              28.60  -
          46.33               2900         0.00              88.20              43.70              88.20              41.20              87.50              52.90              82.40              37.50  -
          46.52               2900         0.00              64.70              17.60              52.90               6.20              76.50              25.00              50.00              11.80  -
          46.64               2900         0.00              63.60               9.10              72.70              15.40              45.50               0.00              50.00               0.00  -
