  Elapsed (sec)    CPULoad (%)    NumThreads    MemoryRSS (MB)    MemoryVMS (MB)    MemoryPFAULTS (MB)    MemoryPAGEINS (MB)    MemoryUSS (MB)    MemoryPercent (%)    GPUMemory (MB)  Event
          36.10         281.70            10        467.773438       5449.480469              3.842154              0.000001        313.175781                 2.86          0.000000  -
          36.23         262.50            10        467.804688       5449.480469              3.853334              0.000001        313.269531                 2.86          0.000000  -
          36.36         279.40            10        467.804688       5449.480469              3.866113              0.000001        313.207031                 2.86          0.000000  -
          36.49         278.00            10        467.804688       5449.480469              3.878222              0.000001        313.195312                 2.86          0.000000  -
          36.62         254.20            10        467.804688       5449.480469              3.889645              0.000001        313.222656                 2.86          0.000000  -
          36.75         243.70            10        467.804688       5449.480469              3.903570              0.000001        313.207031                 2.86          0.000000  -
          36.89         260.90            10        467.804688       5449.480469              3.916698              0.000001        313.203125                 2.86          0.000000  -
          37.02         261.90            10        467.804688       5449.480469              3.928798              0.000001        313.285156                 2.86          0.000000  -
          37.15         270.80            10        467.804688       5449.480469              3.942036              0.000001        313.195312                 2.86          0.000000  -
          37.28         245.00            10        467.804688       5449.480469              3.953147              0.000001        313.250000                 2.86          0.000000  -
          37.41         236.10            10        467.804688       5449.480469              3.965880              0.000001        313.214844                 2.86          0.000000  -
          37.55         238.20            10        467.804688       5449.480469              3.979812              0.000001        313.191406                 2.86          0.000000  -
          37.68         251.40            10        467.804688       5449.480469              3.992381              0.000001        313.203125                 2.86          0.000000  -
          37.81         241.50            10        467.804688       5449.480469              4.004434              0.000001        313.203125                 2.86          0.000000  -
          37.95         243.30            10        467.804688       5449.480469              4.019036              0.000001        313.210938                 2.86          0.000000  -
          38.07         270.20            10        467.804688       5449.480469              4.031211              0.000001        313.234375                 2.86          0.000000  -
          38.21         282.90            10        467.804688       5449.480469              4.044463              0.000001        313.222656                 2.86          0.000000  -
          38.34         279.30            10        467.804688       5449.480469              4.055847              0.000001        313.308594                 2.86          0.000000  -
          38.47         272.40            10        467.804688       5449.480469              4.067865              0.000001        313.195312                 2.86          0.000000  -
          38.60         287.30            10        467.804688       5449.480469              4.078997              0.000001        313.261719                 2.86          0.000000  -
          38.73         299.80            10        467.804688       5449.480469              4.091101              0.000001        313.261719                 2.86          0.000000  -
          38.86         274.00            10        467.804688       5449.480469              4.103789              0.000001        313.191406                 2.86          0.000000  -
          38.98         267.50            10        467.804688       5449.480469              4.115864              0.000001        313.199219                 2.86          0.000000  -
          39.11         269.40            10        467.804688       5449.480469              4.127953              0.000001        313.203125                 2.86          0.000000  -
          39.24         250.20            10        467.804688       5449.480469              4.141013              0.000001        313.289062                 2.86          0.000000  -
          39.36         280.50            10        467.804688       5449.480469              4.153089              0.000001        313.261719                 2.86          0.000000  -
          39.49         271.90            10        467.804688       5449.480469              4.165890              0.000001        313.199219                 2.86          0.000000  -
          39.61         268.50            10        467.804688       5449.480469              4.177929              0.000001        313.195312                 2.86          0.000000  -
          39.74         296.20            10        467.804688       5449.480469              4.190939              0.000001        313.207031                 2.86          0.000000  -
          39.86         256.30            10        467.804688       5449.480469              4.202851              0.000001        313.261719                 2.86          0.000000  -
          40.00         284.90            10        467.804688       5449.480469              4.216347              0.000001        313.203125                 2.86          0.000000  -
          40.12         294.70            10        467.804688       5449.480469              4.228004              0.000001        313.296875                 2.86          0.000000  -
          40.25         291.80            10        467.804688       5449.480469              4.240058              0.000001        313.250000                 2.86          0.000000  -
          40.38         273.70            10        467.804688       5449.480469              4.252028              0.000001        311.164062                 2.86          0.000000  -
          40.51         256.90            10        467.804688       5449.480469              4.264012              0.000001        313.191406                 2.86          0.000000  -
          40.64         274.20            10        467.804688       5449.480469              4.276484              0.000001        313.238281                 2.86          0.000000  -
          40.77         265.50            10        467.804688       5449.480469              4.288796              0.000001        313.246094                 2.86          0.000000  -
          40.90         283.90            10        467.804688       5449.480469              4.300814              0.000001        313.265625                 2.86          0.000000  -
          41.03         274.20            10        467.804688       5449.480469              4.313370              0.000001        313.203125                 2.86          0.000000  -
          41.15         277.30            10        467.804688       5449.480469              4.324780              0.000001        313.289062                 2.86          0.000000  -
          41.28         295.40            10        467.804688       5449.480469              4.336225              0.000001        313.214844                 2.86          0.000000  -
          41.41         296.10            10        466.480469       5448.156250              4.349796              0.000001        311.957031                 2.85          0.000000  -
          41.53         272.20            10        466.480469       5448.156250              4.364403              0.000001        311.875000                 2.85          0.000000  -
          41.66         282.30            10        466.480469       5448.156250              4.376893              0.000001        311.882812                 2.85          0.000000  -
          41.79         291.30            10        466.480469       5448.156250              4.388069              0.000001        311.878906                 2.85          0.000000  -
          41.91         261.60            10        466.480469       5448.156250              4.399252              0.000001        311.878906                 2.85          0.000000  -
          42.05         285.50            10        466.480469       5448.156250              4.411350              0.000001        311.906250                 2.85          0.000000  -
          42.18         279.90            10        466.480469       5448.156250              4.424110              0.000001        311.871094                 2.85          0.000000  -
          42.32         271.80            10        466.480469       5448.156250              4.436913              0.000001        311.882812                 2.85          0.000000  -
          42.45         298.80            10        466.480469       5448.156250              4.448033              0.000001        311.894531                 2.85          0.000000  -
          42.58         256.00            10        466.480469       5448.156250              4.459125              0.000001        311.964844                 2.85          0.000000  -
          42.70         266.70            10        466.480469       5448.156250              4.472676              0.000001        311.882812                 2.85          0.000000  -
          42.83         278.80            10        466.480469       5448.156250              4.484403              0.000001        311.949219                 2.85          0.000000  -
          42.96         300.90            10        466.480469       5448.156250              4.496630              0.000001        311.871094                 2.85          0.000000  -
          43.08         298.10            10        363.078125       5343.882812              4.509197              0.000001        311.625000                 2.22          0.000000  epoch 1: validate
          43.20         211.50            10        564.027344       5679.839844              4.561286              0.000001        516.199219                 3.44          0.000000  -
          43.33         194.60            10        534.281250       5514.800781              4.595428              0.000001        483.828125                 3.26          0.000000  -
          43.50         301.30            10        603.300781       5638.582031              4.653703              0.000001        555.234375                 3.68          0.000000  -
          43.66         253.80            10        492.429688       5472.949219              4.669998              0.000001        318.675781                 3.01          0.000000  -
          43.78         226.60            10        630.421875       5644.722656              4.706687              0.000001        449.593750                 3.85          0.000000  -
          43.91         233.40            10        789.765625       5809.761719              4.746751              0.000001        611.722656                 4.82          0.000000  -
          44.03         321.90            10        663.453125       5644.722656              4.798742              0.000001        482.648438                 4.05          0.000000  -
          44.19         330.40            10        663.453125       5644.722656              4.828754              0.000001        358.902344                 4.05          0.000000  -
          44.33         291.50            10        509.296875       5560.730469              4.856047              0.000001        325.226562                 3.11          0.000000  -
          44.45         258.20            10        507.085938       5519.472656              4.898139              0.000001        321.882812                 3.10          0.000000  -
          44.58         351.90            10        574.695312       6329.859375              4.925027              0.000001        354.816406                 3.51          0.000000  start predict()
          44.70         210.20             7        719.976562       6262.855469              4.976288              0.000001        553.765625                 4.39          0.000000  -
          44.83         191.20             7        931.812500       6262.855469              5.028982              0.000001        765.316406                 5.69          0.000000  -
          44.95         188.40             7       1154.519531       6262.855469              5.084355              0.000001        988.945312                 7.05          0.000000  -
          45.07         195.90             7       1352.945312       7088.300781              5.133885              0.000001       1186.636719                 8.26          0.000000  -
          45.20         192.50             7       1538.328125       7088.300781              5.180127              0.000001       1372.195312                 9.39          0.000000  -
          45.33         194.90             7       1732.878906       7088.300781              5.228656              0.000001       1566.941406                10.58          0.000000  -
          45.45         195.00             7       1919.925781       7088.300781              5.275344              0.000001       1754.183594                11.72          0.000000  -
          45.58         195.70             7       1989.187500       6960.300781              5.324534              0.000001       1820.980469                12.14          0.000000  -
          45.71         361.60             7       1658.082031       7088.300781              5.412903              0.000001       1499.230469                10.12          0.000000  -
          45.89         348.80             7       1291.992188       6263.105469              5.524004              0.000001       1126.328125                 7.89          0.000000  -
          46.04         452.20             7       1492.609375       6882.003906              5.573863              0.000001       1326.859375                 9.11          0.000000  -
          46.18         417.20             7       1675.031250       6882.003906              5.619128              0.000001       1509.453125                10.22          0.000000  -
          46.33         413.50             7       1853.976562       6882.003906              5.663571              0.000001       1688.167969                11.32          0.000000  -
          46.52         242.70             7        673.097656       5644.210938              5.678439              0.000001        504.843750                 4.11          0.000000  -
          46.64         202.50             7        673.097656       5644.210938              5.682724              0.000001        510.203125                 4.11          0.000000  -
