  Elapsed (sec)    PhysTotal (MB)    PhysAvail (MB)    PhysUsed (MB)    PhysPercent (%)    SwapTotal (MB)    SwapFree (MB)    SwapUsed (MB)    SwapPercent (%)  Event
          34.82      16384.000000       7159.007812      7849.882812              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.95      16384.000000       7157.214844      7852.046875              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.07      16384.000000       7162.976562      7845.878906              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.21      16384.000000       7162.976562      7845.878906              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.34      16384.000000       7162.976562      7845.878906              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.46      16384.000000       7162.976562      7845.878906              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.59      16384.000000       7162.707031      7846.250000              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.72      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.84      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          35.98      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          36.10      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          36.23      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          36.36      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          36.49      16384.000000       7162.730469      7846.230469              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          36.62      16384.000000       7180.824219      7828.062500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          36.75      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          36.89      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.02      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.15      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.28      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.41      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.55      16384.000000       7183.824219      7824.554688              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.68      16384.000000       7183.167969      7825.792969              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.81      16384.000000       7182.253906      7826.773438              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          37.95      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.07      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.21      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.34      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.47      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.60      16384.000000       7181.820312      7826.687500              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.73      16384.000000       7182.230469      7826.609375              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.86      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          38.98      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.11      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.24      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.36      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.49      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.61      16384.000000       7182.261719      7826.585938              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          39.74      16384.000000       7185.484375      7823.382812              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          39.86      16384.000000       7191.773438      7817.011719              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.00      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.12      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.25      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.38      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.51      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.64      16384.000000       7190.441406      7818.890625              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.77      16384.000000       7188.074219      7820.343750              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          40.90      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.03      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.15      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.28      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.41      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.53      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.66      16384.000000       7189.484375      7819.742188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.79      16384.000000       7189.164062      7820.214844              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          41.91      16384.000000       7190.187500      7818.433594              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.05      16384.000000       7189.117188      7819.332031              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.18      16384.000000       7189.535156      7819.500000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.32      16384.000000       7189.535156      7819.500000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.45      16384.000000       7189.535156      7819.500000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.58      16384.000000       7189.535156      7819.500000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.70      16384.000000       7189.535156      7819.500000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.83      16384.000000       7192.835938      7816.000000              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          42.96      16384.000000       7194.234375      7815.507812              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.08      16384.000000       7347.078125      7662.011719              55.20       3072.000000      1129.500000      1942.500000              63.20  epoch 1: validate
          43.20      16384.000000       7020.574219      7987.324219              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.33      16384.000000       7020.574219      7987.394531              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.50      16384.000000       7020.574219      7987.394531              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.66      16384.000000       7020.574219      7987.394531              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.78      16384.000000       7020.574219      7987.394531              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          43.91      16384.000000       6942.066406      8066.816406              57.60       3072.000000      1129.500000      1942.500000              63.20  -
          44.03      16384.000000       7021.632812      7987.035156              57.10       3072.000000      1129.500000      1942.500000              63.20  -
          44.19      16384.000000       7196.601562      7812.632812              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          44.33      16384.000000       7124.109375      7884.992188              56.50       3072.000000      1129.500000      1942.500000              63.20  -
          44.45      16384.000000       7156.566406      7852.121094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          44.58      16384.000000       7156.566406      7852.121094              56.30       3072.000000      1129.500000      1942.500000              63.20  start predict()
          44.70      16384.000000       7156.566406      7852.121094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          44.83      16384.000000       7156.566406      7852.121094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          44.95      16384.000000       6980.601562      8028.589844              57.40       3072.000000      1129.500000      1942.500000              63.20  -
          45.07      16384.000000       6864.277344      8145.480469              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.20      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.33      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.45      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.58      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.71      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          45.89      16384.000000       6864.277344      8145.535156              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          46.04      16384.000000       6867.910156      8141.691406              58.10       3072.000000      1129.500000      1942.500000              63.20  -
          46.18      16384.000000       6729.656250      8279.488281              58.90       3072.000000      1129.500000      1942.500000              63.20  -
          46.33      16384.000000       6582.589844      8426.875000              59.80       3072.000000      1129.500000      1942.500000              63.20  -
          46.52      16384.000000       7370.570312      7639.070312              55.00       3072.000000      1129.500000      1942.500000              63.20  -
          46.64      16384.000000       7370.570312      7639.070312              55.00       3072.000000      1129.500000      1942.500000              63.20  -
