A100 8 GPUs batch size 2048/GPU,A100 8 GPUs batch size 256/GPU,A100 8 GPUs batch size 512/GPU,A100 8 GPUs batch size 1024/GPU
10.85,17.3,13.57,11.46
10.84,17.29,13.56,11.46
,17.28,13.56,11.74
,17.27,13.81,11.66
,17.51,13.72,11.61
,17.44,13.68,11.56
,17.37,13.65,11.53
,17.33,13.63,11.51
,17.31,13.61,11.49
,17.29,13.59,11.48
,17.28,13.58,11.47
,17.25,13.57,11.45
,17.51,13.57,11.44
,17.42,13.56,11.44
,17.37,13.54,11.42
,17.35,13.55,11.44
,17.31,13.54,11.43
,17.3,13.79,11.43
,17.26,13.71,11.44
,17.22,13.66,11.44
,17.46,13.64,11.7
,17.4,13.62,11.61
,17.36,13.6,11.56
,17.31,13.58,11.53
,17.29,13.58,11.49
,17.27,13.57,11.5
,17.25,13.55,11.48
,17.5,13.55,11.47
,17.44,13.55,11.47
,17.38,13.81,11.45
,17.34,13.74,11.44
,17.3,13.69,11.45
,17.29,13.65,11.44
,17.27,13.63,11.44
,17.26,13.57,11.44
,17.51,13.57,11.45
,17.43,13.56,11.44
,17.38,13.55,11.46
,17.34,13.57,11.72
,17.32,13.56,11.64
,17.29,13.56,11.58
,17.28,13.55,11.54
,17.27,13.54,11.52
,17.53,13.79,11.49
,17.45,13.72,11.48
,17.39,13.67,11.46
,17.35,13.64,11.45
,17.32,13.61,11.44
,17.31,13.6,11.45
,17.28,13.57,11.46
,17.52,13.58,11.46
,17.43,13.58,11.46
,17.36,13.58,11.45
,17.32,13.58,11.45
,17.29,13.58,11.45
,17.27,13.82,11.73
,17.26,13.74,11.62
,17.23,13.69,11.57
,17.5,13.63,11.53
,17.41,13.6,11.5
,17.37,13.59,11.49
,17.33,13.58,11.48
,17.31,13.58,11.46
,17.28,13.58,11.46
,17.27,13.57,11.45
,17.26,13.56,11.45
,17.51,13.56,11.45
,17.43,13.56,11.44
,17.37,13.56,11.44
,17.32,13.82,11.44
,17.29,13.74,11.44
,17.28,13.68,11.44
,17.27,13.64,11.45
,17.24,13.63,11.71
,17.49,13.6,11.62
,17.41,13.58,11.54
,17.34,13.58,11.5
,17.3,13.58,11.47
,17.29,13.58,11.45
,17.27,13.57,11.46
,17.26,13.55,11.46
,17.5,13.82,11.46
,17.39,13.73,11.45
,17.35,13.68,11.44
,17.29,13.65,11.44
,17.28,13.62,11.45
,17.26,13.61,11.45
,17.25,13.61,11.45
,17.26,13.59,11.44
,17.52,13.58,11.44
,17.45,13.56,11.44
,17.37,13.57,11.71
,17.34,13.56,11.63
,17.31,13.56,11.58
,17.29,13.54,11.54
,17.28,13.8,11.51
,17.28,13.73,11.5
,17.52,13.68,11.48
,17.44,13.65,11.47
,17.39,13.63,11.47
,17.35,13.61,11.46
,17.32,13.59,11.45
,17.29,13.59,11.45
,17.28,13.55,11.45
,17.23,13.54,11.46
,17.5,13.55,11.45
,17.41,13.55,11.46
,17.34,13.83,11.46
,17.32,13.74,11.73
,17.28,13.68,11.64
,17.27,13.63,11.56
,17.27,13.61,11.53
,17.51,13.6,11.51
,17.43,13.58,11.48
,17.38,13.58,11.46
,17.34,13.56,11.45
,17.32,13.57,11.44
,17.29,13.57,11.44
,17.28,13.56,11.45
,17.26,13.57,11.46
,17.51,13.57,11.46
,17.45,13.83,11.45
,17.4,13.74,11.45
,17.36,13.68,11.46
,17.32,13.64,11.47
,17.3,13.62,11.46
,17.28,13.6,11.74
,17.27,13.6,11.67
,17.5,13.59,11.6
,17.64,13.93,11.88
